team,date,time,home-away,type,event,site,subsite,result,score,canceled
boys-soccer-junior-varsity,2023-09-29,4:00 PM,H,Non-League,Brookline High School,DeFazio Complex,Conroy Grass,,,TRUE
girls-swim-and-dive-varsity,2023-09-29,4:30 PM,A,League,Acton-Boxborough Regional High School,Acton-Boxborough Regional High School,Swimming Pool,W,105.5-78.5,
boys-soccer-varsity,2023-09-29,6:00 PM,H,Non-League,Brookline High School,DeFazio Complex,Turf #2 Brock,W,2-1,
coed-field-hockey-varsity,2023-09-29,6:00 PM,A,Non-League,Endowment Game (Bishop Feehan High School),Bishop Feehan High School,McGrath Stadium,L,2-3,
coed-football-varsity,2023-09-29,6:30 PM,H,League,Walpole High School,Memorial Park,High School Turf,W,21-19,
coed-football-freshman,2023-09-30,9:00 AM,A,League,Walpole High School,Walpole High School,Turco Field,,,
coed-football-junior-varsity,2023-09-30,11:00 AM,A,League,Walpole High School,Walpole High School,Turco Field,,,
boys-soccer-freshman,2023-10-02,4:00 PM,H,League,Newton North High School,High Rock Middle School,Field,,,
coed-field-hockey,2023-10-02,4:30 PM,H,League,Newton North High School,DeFazio Complex,Turf #1 Founders,,,
coed-field-hockey-varsity,2023-10-02,4:30 PM,A,League,Newton North High School,Newton North High School,Dickinson Stadium,W,4-0,
girls-soccer-freshman,2023-10-02,4:30 PM,A,League,Newton North High School,Cold Spring Park (Newton),,,,
coed-field-hockey-junior-varsity,2023-10-02,5:45 PM,A,League,Newton North High School,Newton North High School,Dickinson Stadium,,,
girls-swim-and-dive-varsity,2023-10-02,7:00 PM,H,League,Newton North High School,Babson College,Morse Swimming Pool,W,99-85,
boys-golf-varsity,2023-10-03,3:30 PM,H,League,Wellesley High School,Needham Golf Club,,L,96-123,
girls-soccer-junior-varsity,2023-10-03,4:00 PM,H,League,Natick High School,Memorial Park,High School Turf,,,
girls-volleyball-varsity,2023-10-03,4:00 PM,H,League,Natick High School,Needham High School,A Gym,W,3-0,
coed-field-hockey-middle-school-1,2023-10-03,4:00 PM,H,Game,St. John's Middle School,Pollard Middle School,Field,,,
coed-field-hockey-middle-school-2,2023-10-03,4:00 PM,A,Game,Wellesley Middle School,Wellesley High School,Grass Field at Stadium Turf,,,
girls-volleyball-middle-school-gold,2023-10-03,4:30 PM,H,Match,Franklin,Pollard Middle School,Gym,,,
girls-volleyball-middle-school-blue,2023-10-03,4:30 PM,H,Match,Franklin,Pollard Middle School,Gym,,,
boys-soccer-junior-varsity,2023-10-03,4:30 PM,A,League,Natick High School,Natick High School,#1,,,
girls-volleyball-junior-varsity,2023-10-03,5:30 PM,H,League,Natick High School,Needham High School,A Gym,,,
girls-volleyball-freshman,2023-10-03,5:30 PM,H,League,Natick High School,Needham High School,B Gym,,,
girls-soccer-varsity,2023-10-03,6:00 PM,H,League,Natick High School,Memorial Park,High School Turf,L,0-4,
boys-soccer-varsity,2023-10-03,6:30 PM,A,League,Natick High School,Natick High School,#1,W,4-1,
coed-field-hockey-freshman,2023-10-04,4:00 PM,A,League,Wellesley High School,Sprague School,Turf Field #3,,,
coed-field-hockey-varsity,2023-10-04,4:00 PM,H,League,Wellesley High School,DeFazio Complex,Turf #1 Founders,W,2-1,
boys-soccer-freshman,2023-10-04,4:00 PM,A,League,Wellesley High School,Sprague School,Grass Field #4,,,
boys-cross-country-varsity,2023-10-04,4:00 PM,A,League,Natick High School,Natick High School,Elm Bank,L,24-34,
girls-cross-country-varsity,2023-10-04,4:00 PM,A,League,Natick High School,Natick High School,Elm Bank,W,16-47,
girls-soccer-freshman,2023-10-04,4:00 PM,H,League,Wellesley High School,DeFazio Complex,Conroy Grass,,,
coed-field-hockey-middle-school-1,2023-10-04,4:00 PM,A,Game,Wilson Middle School (Natick),Wilson Middle School,,,,
coed-field-hockey-middle-school-2,2023-10-04,4:00 PM,H,Game,Kennedy Middle School (Natick),Pollard Middle School,Field,,,
girls-volleyball-middle-school-gold,2023-10-04,4:00 PM,H,Match,Kennedy Middle School (Natick),Pollard Middle School,Gym,,,
girls-volleyball-middle-school-blue,2023-10-04,4:00 PM,A,Match,Wilson Middle School (Natick),Wilson Middle School,Gym,,,
coed-field-hockey-junior-varsity,2023-10-04,5:15 PM,H,League,Wellesley High School,DeFazio Complex,Turf #1 Founders,,,
boys-golf-varsity,2023-10-05,3:30 PM,A,League,Brookline High School,The Country Club,,W,90-82,
coed-field-hockey-freshman,2023-10-05,4:00 PM,A,League,Brookline High School,Harry Downes Field,Turf Field,,,
coed-field-hockey-varsity,2023-10-05,4:00 PM,H,League,Brookline High School,DeFazio Complex,Turf #1 Founders,W,2-0,
boys-soccer-junior-varsity,2023-10-05,4:00 PM,H,League,Newton North High School,DeFazio Complex,Conroy Grass,,,
girls-swim-and-dive-varsity,2023-10-05,4:00 PM,A,League,Brookline High School,Kirrane Aquatics Center ,Swimming Pool,W,101-80,
cross-country-middle-school,2023-10-05,4:00 PM,H,Meet,Pierce Middle School (Milton),DeFazio Complex,XC Course,,,
girls-volleyball-middle-school-gold,2023-10-05,4:00 PM,A,Match,Chapman Middle School (Weymouth) 1,Chapman Middle School (Weymouth),Gym,,,
